po_id,po_date,supplier_id,material_id,scheduled_delivery_date,actual_delivery_date,currency,po_value,actual_cost
100000,2024-03-30,SUP-034,MAT-219,2024-05-09,2024-05-08,EUR,15133.53,13122.72
100001,2024-03-30,SUP-036,MAT-211,2024-05-05,2024-05-15,USD,18336.24,16138.79
100002,2024-08-20,SUP-023,MAT-229,2024-09-24,2024-09-26,EUR,2763.53,2721.62
100003,2024-02-24,SUP-021,MAT-203,2024-03-14,2024-03-15,EUR,2586.4,2631.93
100004,2025-05-08,SUP-028,MAT-225,2025-06-15,2025-06-17,USD,4350.09,4217.43
100005,2024-04-09,SUP-034,MAT-224,2024-05-20,2024-05-31,USD,20756.76,21892.16
100006,2024-11-13,SUP-038,MAT-220,2024-12-22,2024-12-28,EUR,6952.86,6589.53
100007,2024-05-28,SUP-038,MAT-217,2024-06-20,2024-06-17,USD,21026.46,21816.35
100008,2024-02-17,SUP-007,MAT-234,2024-03-31,2024-03-27,USD,21284.91,22878.05
100009,2024-02-11,SUP-005,MAT-202,2024-02-23,2024-03-02,USD,3359.29,3319.73
100010,2024-09-16,SUP-029,MAT-220,2024-09-30,2024-09-28,USD,20201.04,20615.34
100011,2025-04-25,SUP-010,MAT-205,2025-06-03,2025-06-11,USD,6746.18,6582.65
100012,2025-02-01,SUP-028,MAT-200,2025-03-07,2025-03-12,USD,16756.69,15295.15
100013,2025-01-03,SUP-034,MAT-205,2025-01-26,,USD,5505.91,5210.46
100014,2024-12-10,SUP-040,MAT-229,2024-12-21,2024-12-16,EUR,21225.68,21299.71
100015,2024-08-30,SUP-024,MAT-202,2024-09-12,2024-09-11,USD,23421.49,21647.6
100016,2025-01-15,SUP-031,MAT-220,2025-02-12,2025-02-10,EUR,9003.47,7687.83
100017,2025-05-06,SUP-036,MAT-204,2025-06-19,2025-06-22,USD,7936.97,8169.47
100018,2024-10-16,SUP-001,MAT-229,2024-11-20,2024-11-13,USD,4995.9,5229.16
100019,2024-11-30,SUP-024,MAT-237,2025-01-09,2025-01-17,USD,14339.75,14402.08
100020,2024-04-13,SUP-004,MAT-213,2024-04-24,2024-04-26,USD,13135.43,14181.82
100021,2025-01-07,SUP-035,MAT-227,2025-02-06,2025-02-10,USD,21274.38,21667.35
100022,2024-03-01,SUP-026,MAT-233,2024-04-14,2024-04-25,USD,11785.14,10929.06
100023,2025-01-24,SUP-012,MAT-210,2025-02-14,2025-02-13,EUR,19695.03,20207.98
100024,2025-06-28,SUP-014,MAT-224,2025-07-18,2025-07-22,EUR,11172.32,10967.76
100025,2024-08-28,SUP-006,MAT-220,2024-09-28,2024-09-25,EUR,2842.53,2693.55
